sld,label,family
syhbnsuuswqdhod,1,cryptolocker
24viptaka,0,benign
g-oasys,0,benign
hgmgtvdtwbmsb,1,cryptolocker
data-matter-network,1,matsnu
future-marry,1,matsnu
ideaanciwifanyyoap,1,gozi_gpl
fugitiverecovery,0,benign
udtdufehyeld,1,tinba
knownmarket,1,suppobox_1
ravagedofistheyrectitude,1,rovnix
salid,0,benign
ddjqjjvrkdmn,1,tinba
safrecords,0,benign
litter-robot,0,benign
inandfreeimpelpetitioned,1,rovnix
tprogrambyousureparty,1,gozi_gpl
cejxofoxspfmkbtcd,1,necurs
ustatingacrossyourtrade,1,gozi_gpl
gvirt,0,benign
apatentsworksver,1,gozi_gpl
withtherelyingessential,1,gozi_gpl
mbigspayquuhmg,1,cryptolocker
thoughshould,1,suppobox_1
tgrantedpurworkssource,1,gozi_gpl
ubw5eno1ezol,1,qadars
teenoi69,0,benign
wpqihwvvmuvh,1,tinba
bottleoutside,1,pizd
akeomkqwe8yk,1,qadars
porno,0,benign
chain-provide,1,matsnu
programeitherbutexample,1,gozi_gpl
oiqwsemitismgavenuteq,1,banjori
wvfjymjidefj,1,tinba
g1yrsx2b0per,1,qadars
kgewisjkudxod,1,ramnit
ajvyemjeefdsgwrjqdr,1,ramnit
sxhsdkmev,1,necurs
xatqadcwqjpynh,1,cryptolocker
theytruthsbuttotransient,1,rovnix
fibosjpsbyjb,1,tinba
yardikube,0,benign
leavehowever,1,suppobox_1
050000023,0,benign
electedandforjustwhich,1,rovnix
slhmpxjtdxqygw,1,necurs
garden-evidence,1,matsnu
onfusqwowmedukjuhf,1,ramnit
restoska,0,benign
jjovpfofhdfi,1,ramnit
